finding_type,attack_type_code,severity_override,custom_multiplier,created_at
ADA_LEGAL_CONTINGENT_LIABILITY,ADA_COMPLIANCE,MEDIUM,1.0,2025-07-11 16:58:12.079422+00
ADVERSE_MEDIA,ADVERSE_MEDIA,MEDIUM,1.0,2025-07-11 16:58:12.079422+00
CLIENT_SIDE_SECRET_EXPOSURE,TECHNOLOGY_STACK_ATTACK,HIGH,1.0,2025-07-11 16:58:12.079422+00
CLOUD_COST_AMPLIFICATION,DENIAL_OF_WALLET,HIGH,1.0,2025-07-11 16:58:12.079422+00
DATA_BREACH_EXPOSURE,DATA_BREACH,CRITICAL,1.0,2025-07-11 16:58:12.079422+00
DENIAL_OF_WALLET,DENIAL_OF_WALLET,HIGH,1.0,2025-07-11 16:58:12.079422+00
EMAIL_SECURITY_GAP,PHISHING_BEC,MEDIUM,0.5,2025-07-11 16:58:12.079422+00
EXPOSED_DATABASE,DATA_BREACH,CRITICAL,1.0,2025-07-11 16:58:12.079422+00
EXPOSED_SERVICE,SITE_HACK,,1.0,2025-07-11 16:58:12.079422+00
MAIL_BRUTEFORCE_SURFACE,PHISHING_BEC,MEDIUM,0.7,2025-07-11 16:58:12.079422+00
MALICIOUS_TYPOSQUAT,TYPOSQUAT,HIGH,1.5,2025-07-11 16:58:12.079422+00
MALICIOUS_TYPOSQUAT_GROUP,TYPOSQUAT,HIGH,2.0,2025-07-11 16:58:12.079422+00
MISSING_RATE_LIMITING,SITE_HACK,MEDIUM,0.5,2025-07-11 16:58:12.079422+00
MISSING_SECURITY_HEADERS,CERTIFICATE_ATTACK,LOW,1.0,2025-07-11 16:58:12.079422+00
OPENVAS_VULNERABILITY,SITE_HACK,,1.0,2025-07-11 16:58:12.079422+00
PARKED_TYPOSQUAT,TYPOSQUAT,MEDIUM,0.8,2025-07-11 16:58:12.079422+00
PARKED_TYPOSQUAT_GROUP,TYPOSQUAT,MEDIUM,1.0,2025-07-11 16:58:12.079422+00
PHISHING_INFRASTRUCTURE,PHISHING_BEC,CRITICAL,2.0,2025-07-11 16:58:12.079422+00
RATE_LIMIT_BYPASS,SITE_HACK,MEDIUM,0.8,2025-07-11 16:58:12.079422+00
SENSITIVE_FILE_EXPOSURE,SITE_HACK,HIGH,1.2,2025-07-11 16:58:12.079422+00
SITE_HACK,SITE_HACK,,1.0,2025-07-11 16:58:12.079422+00
TLS_CONFIGURATION_ISSUE,CERTIFICATE_ATTACK,MEDIUM,0.5,2025-07-11 16:58:12.079422+00
VERIFIED_CVE,TECHNOLOGY_STACK_ATTACK,,1.0,2025-07-11 16:58:12.079422+00
VULNERABILITY,TECHNOLOGY_STACK_ATTACK,,0.8,2025-07-11 16:58:12.079422+00
WEB_APPLICATION_VULNERABILITY,SITE_HACK,,1.0,2025-07-11 16:58:12.079422+00